"player_position","depth","angle","field_x","field_y","batter","launch_speed_av","launch_angle_av","gb_pull","fb_pull","handedness","name","home_first","babip","method"
4,141,82,20,140,516782,86.2,5.6,0.708,0.384,"R","Marte, Starling",4.27,0.361,"Current Rules"
5,122,-55,-70,100,516782,86.2,5.6,0.708,0.384,"R","Marte, Starling",4.27,0.361,"Current Rules"
6,143,-78,-30,140,516782,86.2,5.6,0.708,0.384,"R","Marte, Starling",4.27,0.361,"Current Rules"
7,311,-66,-125,285,516782,86.2,5.6,0.708,0.384,"R","Marte, Starling",4.27,0.361,"Current Rules"
8,321,86,20,320,516782,86.2,5.6,0.708,0.384,"R","Marte, Starling",4.27,0.361,"Current Rules"
9,271,60,135,235,516782,86.2,5.6,0.708,0.384,"R","Marte, Starling",4.27,0.361,"Current Rules"
3,128,51,80,100,518586,83.8,6.7,0.669,0.538,"R","Culberson, Charlie",4.35,0.327,"Current Rules"
4,146,74,40,140,518586,83.8,6.7,0.669,0.538,"R","Culberson, Charlie",4.35,0.327,"Current Rules"
5,122,-55,-70,100,518586,83.8,6.7,0.669,0.538,"R","Culberson, Charlie",4.35,0.327,"Current Rules"
6,146,-74,-40,140,518586,83.8,6.7,0.669,0.538,"R","Culberson, Charlie",4.35,0.327,"Current Rules"
7,298,-59,-155,255,518586,83.8,6.7,0.669,0.538,"R","Culberson, Charlie",4.35,0.327,"Current Rules"
8,322,-83,-40,320,518586,83.8,6.7,0.669,0.538,"R","Culberson, Charlie",4.35,0.327,"Current Rules"
9,285,75,75,275,518586,83.8,6.7,0.669,0.538,"R","Culberson, Charlie",4.35,0.327,"Current Rules"
3,128,51,80,100,518595,90.3,9,0.672,0.453,"R","d'Arnaud, Travis",4.68,0.313,"Current Rules"
4,163,79,30,160,518595,90.3,9,0.672,0.453,"R","d'Arnaud, Travis",4.68,0.313,"Current Rules"
5,136,-54,-80,110,518595,90.3,9,0.672,0.453,"R","d'Arnaud, Travis",4.68,0.313,"Current Rules"
6,155,-75,-40,150,518595,90.3,9,0.672,0.453,"R","d'Arnaud, Travis",4.68,0.313,"Current Rules"
7,293,-65,-125,265,518595,90.3,9,0.672,0.453,"R","d'Arnaud, Travis",4.68,0.313,"Current Rules"
8,330,90,0,330,518595,90.3,9,0.672,0.453,"R","d'Arnaud, Travis",4.68,0.313,"Current Rules"
9,280,66,115,255,518595,90.3,9,0.672,0.453,"R","d'Arnaud, Travis",4.68,0.313,"Current Rules"
3,112,63,50,100,518626,93.3,13.5,0.78,0.563,"R","Donaldson, Josh",4.57,0.3,"Current Rules"
4,161,83,20,160,518626,93.3,13.5,0.78,0.563,"R","Donaldson, Josh",4.57,0.3,"Current Rules"
5,136,-54,-80,110,518626,93.3,13.5,0.78,0.563,"R","Donaldson, Josh",4.57,0.3,"Current Rules"
6,155,-75,-40,150,518626,93.3,13.5,0.78,0.563,"R","Donaldson, Josh",4.57,0.3,"Current Rules"
7,262,-59,-135,225,518626,93.3,13.5,0.78,0.563,"R","Donaldson, Josh",4.57,0.3,"Current Rules"
8,322,-83,-40,320,518626,93.3,13.5,0.78,0.563,"R","Donaldson, Josh",4.57,0.3,"Current Rules"
9,285,75,75,275,518626,93.3,13.5,0.78,0.563,"R","Donaldson, Josh",4.57,0.3,"Current Rules"
3,127,45,90,90,518692,91.8,13.6,0.755,0.416,"L","Freeman, Freddie",4.49,0.296,"Current Rules"
4,172,54,100,140,518692,91.8,13.6,0.755,0.416,"L","Freeman, Freddie",4.49,0.296,"Current Rules"
5,141,-82,-20,140,518692,91.8,13.6,0.755,0.416,"L","Freeman, Freddie",4.49,0.296,"Current Rules"
